"Notes"	"State"	"State Code"	"Year"	"Year Code"	Count	Percent of Total	Rate	Population
	"Arkansas"	"05"	"2000"	"2000"	199	0.060%	7.429	2678588
	"Arkansas"	"05"	"1999"	"1999"	181	0.055%	6.825	2651860
	"Arkansas"	"05"	"1998"	"1998"	171	0.051%	6.511	2626289
	"Arkansas"	"05"	"1997"	"1997"	200	0.060%	7.689	2601091
	"Arkansas"	"05"	"1996"	"1996"	225	0.068%	8.748	2572109
	"Arkansas"	"05"	"1995"	"1995"	271	0.082%	10.689	2535399
	"Arkansas"	"05"	"1994"	"1994"	264	0.079%	10.585	2494019
	"Arkansas"	"05"	"1993"	"1993"	209	0.063%	8.509	2456303
	"California"	"06"	"2013"	"2013"	2171	0.654%	5.664	38332521
	"California"	"06"	"2012"	"2012"	2189	0.659%	5.761	37999878
	"California"	"06"	"2011"	"2011"	2323	0.699%	6.167	37668681
	"California"	"06"	"2010"	"2010"	2326	0.700%	6.230	37333601
	"California"	"06"	"2009"	"2009"	2467	0.743%	6.675	36961229
	"California"	"06"	"2008"	"2008"	2699	0.813%	7.373	36604337
	"California"	"06"	"2007"	"2007"	2725	0.821%	7.517	36250311
	"California"	"06"	"2006"	"2006"	2776	0.836%	7.707	36021202
	"California"	"06"	"2005"	"2005"	2900	0.873%	8.094	35827943
	"California"	"06"	"2004"	"2004"	2991	0.901%	8.408	35574576
	"California"	"06"	"2003"	"2003"	3218	0.969%	9.128	35253159
	"California"	"06"	"2002"	"2002"	3172	0.955%	9.096	34871843
	"California"	"06"	"2001"	"2001"	3329	1.002%	9.655	34479458
	"California"	"06"	"2000"	"2000"	3288	0.990%	9.674	33987977
	"California"	"06"	"1999"	"1999"	3604	1.085%	10.758	33499204
	"California"	"06"	"1998"	"1998"	3850	1.159%	11.671	32987675
	"California"	"06"	"1997"	"1997"	4045	1.218%	12.451	32486010
	"California"	"06"	"1996"	"1996"	4288	1.291%	13.392	32018834
	"California"	"06"	"1995"	"1995"	4656	1.402%	14.689	31696582
	"California"	"06"	"1994"	"1994"	4834	1.456%	15.354	31484435
	"California"	"06"	"1993"	"1993"	5146	1.550%	16.454	31274928
	"Colorado"	"08"	"2013"	"2013"	74	0.022%	1.405	5268367
	"Colorado"	"08"	"2012"	"2012"	64	0.019%	1.233	5189458
	"Colorado"	"08"	"2011"	"2011"	70	0.021%	1.368	5118400
	"Colorado"	"08"	"2010"	"2010"	71	0.021%	1.406	5048196
	"Colorado"	"08"	"2009"	"2009"	85	0.026%	1.710	4972195
	"Colorado"	"08"	"2008"	"2008"	103	0.031%	2.106	4889730
	"Colorado"	"08"	"2007"	"2007"	111	0.033%	2.311	4803868
	"Colorado"	"08"	"2006"	"2006"	124	0.037%	2.627	4720423
	"Colorado"	"08"	"2005"	"2005"	101	0.030%	2.181	4631888
	"Colorado"	"08"	"2004"	"2004"	128	0.039%	2.798	4575013
	"Colorado"	"08"	"2003"	"2003"	111	0.033%	2.451	4528732
	"Colorado"	"08"	"2002"	"2002"	103	0.031%	2.294	4490406
	"Colorado"	"08"	"2001"	"2001"	138	0.042%	3.118	4425687
	"Colorado"	"08"	"2000"	"2000"	97	0.029%	2.242	4326921
	"Colorado"	"08"	"1999"	"1999"	88	0.026%	2.082	4226018
	"Colorado"	"08"	"1998"	"1998"	79	0.024%	1.919	4116639
	"Colorado"	"08"	"1997"	"1997"	94	0.028%	2.339	4018293
	"Colorado"	"08"	"1996"	"1996"	101	0.030%	2.577	3919972
	"Colorado"	"08"	"1995"	"1995"	92	0.028%	2.404	3826653
	"Colorado"	"08"	"1994"	"1994"	93	0.028%	2.497	3724168
	"Colorado"	"08"	"1993"	"1993"	107	0.032%	2.961	3613734
	"Connecticut"	"09"	"2013"	"2013"	62	0.019%	1.724	3596080
	"Connecticut"	"09"	"2012"	"2012"	74	0.022%	2.060	3591765
	"Connecticut"	"09"	"2011"	"2011"	83	0.025%	2.313	3588948
	"Connecticut"	"09"	"2010"	"2010"	85	0.026%	2.375	3579210
	"Connecticut"	"09"	"2009"	"2009"	95	0.029%	2.667	3561807
	"Connecticut"	"09"	"2008"	"2008"	98	0.030%	2.764	3545579
	"Connecticut"	"09"	"2007"	"2007"	108	0.033%	3.062	3527270
	"Connecticut"	"09"	"2006"	"2006"	89	0.027%	2.530	3517460
	"Connecticut"	"09"	"2005"	"2005"	96	0.029%	2.737	3506956
	"Connecticut"	"09"	"2004"	"2004"	101	0.030%	2.889	3496094
	"Connecticut"	"09"	"2003"	"2003"	111	0.033%	3.186	3484336
	"Connecticut"	"09"	"2002"	"2002"	105	0.032%	3.036	3458749
	"Connecticut"	"09"	"2001"	"2001"	121	0.036%	3.525	3432835
	"Connecticut"	"09"	"2000"	"2000"	105	0.032%	3.078	3411777
	"Connecticut"	"09"	"1999"	"1999"	121	0.036%	3.573	3386401
	"Connecticut"	"09"	"1998"	"1998"	127	0.038%	3.774	3365352
	"Connecticut"	"09"	"1997"	"1997"	128	0.039%	3.822	3349348
	"Connecticut"	"09"	"1996"	"1996"	138	0.042%	4.136	3336685
	"Connecticut"	"09"	"1995"	"1995"	139	0.042%	4.182	3324144
	"Connecticut"	"09"	"1994"	"1994"	147	0.044%	4.433	3316121
	"Connecticut"	"09"	"1993"	"1993"	154	0.046%	4.654	3309175
	"Delaware"	"10"	"2013"	"2013"	19	0.006%	2.052	925749
	"Delaware"	"10"	"2012"	"2012"	28	0.008%	3.053	917053
	"Delaware"	"10"	"2011"	"2011"	21	0.006%	2.313	907985
	"Delaware"	"10"	"2010"	"2010"	20	0.006%	2.223	899711
	"Delaware"	"10"	"2009"	"2009"	19	0.006%	2.131	891730
	"Delaware"	"10"	"2008"	"2008"	23	0.007%	2.602	883874
	"Delaware"	"10"	"2007"	"2007"	19	0.006%	2.180	871749
	"Delaware"	"10"	"2006"	"2006"	29	0.009%	3.375	859268
	"Delaware"	"10"	"2005"	"2005"	27	0.008%	3.195	845150
	"Delaware"	"10"	"2004"	"2004"	33	0.010%	3.972	830803
	"Delaware"	"10"	"2003"	"2003"	32	0.010%	3.912	818003
	"Delaware"	"10"	"2002"	"2002"	25	0.008%	3.101	806169
	"Delaware"	"10"	"2001"	"2001"	33	0.010%	4.147	795699
	"Delaware"	"10"	"2000"	"2000"	28	0.008%	3.561	786373
	"Delaware"	"10"	"1999"	"1999"	34	0.010%	4.387	774990
	"Delaware"	"10"	"1998"	"1998"	36	0.011%	4.716	763335
	"Delaware"	"10"	"1997"	"1997"	38	0.011%	5.057	751487
	"Delaware"	"10"	"1996"	"1996"	43	0.013%	5.803	740978
	"Delaware"	"10"	"1995"	"1995"	56	0.017%	7.674	729735
	"Delaware"	"10"	"1994"	"1994"	55	0.017%	7.665	717545
	"Delaware"	"10"	"1993"	"1993"	66	0.020%	9.343	706378
	"District of Columbia"	"11"	"2013"	"2013"	38	0.011%	5.878	646449
	"District of Columbia"	"11"	"2012"	"2012"	37	0.011%	5.841	633427
	"District of Columbia"	"11"	"2011"	"2011"	55	0.017%	8.876	619624
	"District of Columbia"	"11"	"2010"	"2010"	43	0.013%	7.106	605125
	"District of Columbia"	"11"	"2009"	"2009"	41	0.012%	6.923	592228
	"District of Columbia"	"11"	"2008"	"2008"	54	0.016%	9.307	580236
	"District of Columbia"	"11"	"2007"	"2007"	59	0.018%	10.271	574404
	"District of Columbia"	"11"	"2006"	"2006"	72	0.022%	12.617	570681
	"District of Columbia"	"11"	"2005"	"2005"	59	0.018%	10.403	567136
	"District of Columbia"	"11"	"2004"	"2004"	81	0.024%	14.267	567754
	"District of Columbia"	"11"	"2003"	"2003"	79	0.024%	13.896	568502
	"District of Columbia"	"11"	"2002"	"2002"	82	0.025%	14.307	573158
	"District of Columbia"	"11"	"2001"	"2001"	74	0.022%	12.881	574504
	"District of Columbia"	"11"	"2000"	"2000"	85	0.026%	14.859	572046
	"District of Columbia"	"11"	"1999"	"1999"	70	0.021%	12.276	570220
	"District of Columbia"	"11"	"1998"	"1998"	107	0.032%	18.930	565232
	"District of Columbia"	"11"	"1997"	"1997"	110	0.033%	19.375	567739
	"District of Columbia"	"11"	"1996"	"1996"	139	0.042%	24.285	572379
	"District of Columbia"	"11"	"1995"	"1995"	102	0.031%	17.570	580519
	"District of Columbia"	"11"	"1994"	"1994"	120	0.036%	20.365	589240
	"District of Columbia"	"11"	"1993"	"1993"	162	0.049%	27.213	595302
	"Florida"	"12"	"2013"	"2013"	652	0.196%	3.335	19552860
	"Florida"	"12"	"2012"	"2012"	678	0.204%	3.509	19320749
	"Florida"	"12"	"2011"	"2011"	754	0.227%	3.951	19083482
	"Florida"	"12"	"2010"	"2010"	833	0.251%	4.420	18846054
	"Florida"	"12"	"2009"	"2009"	822	0.248%	4.407	18652644
	"Florida"	"12"	"2008"	"2008"	957	0.288%	5.165	18527305
	"Florida"	"12"	"2007"	"2007"	988	0.298%	5.379	18367842
	"Florida"	"12"	"2006"	"2006"	1032	0.311%	5.681	18166990
	"Florida"	"12"	"2005"	"2005"	1093	0.329%	6.126	17842038
	"Florida"	"12"	"2004"	"2004"	1074	0.323%	6.167	17415318
	"Florida"	"12"	"2003"	"2003"	1041	0.313%	6.122	17004085
	"Florida"	"12"	"2002"	"2002"	1084	0.326%	6.495	16689370
	"Florida"	"12"	"2001"	"2001"	1138	0.343%	6.957	16356966
	"Florida"	"12"	"2000"	"2000"	1164	0.350%	7.253	16047515
	"Florida"	"12"	"1999"	"1999"	1273	0.383%	8.078	15759421
	"Florida"	"12"	"1998"	"1998"	1294	0.390%	8.356	15486559
	"Florida"	"12"	"1997"	"1997"	1393	0.419%	9.173	15186304
	"Florida"	"12"	"1996"	"1996"	1410	0.425%	9.493	14853360
	"Florida"	"12"	"1995"	"1995"	1547	0.466%	10.641	14537875
	"Florida"	"12"	"1994"	"1994"	1742	0.525%	12.234	14239444
	"Florida"	"12"	"1993"	"1993"	1646	0.496%	11.819	13927185
	"Georgia"	"13"	"2013"	"2013"	340	0.102%	3.403	9992167
	"Georgia"	"13"	"2012"	"2012"	357	0.107%	3.600	9915646
	"Georgia"	"13"	"2011"	"2011"	347	0.104%	3.537	9810181
	"Georgia"	"13"	"2010"	"2010"	411	0.124%	4.231	9713248
	"Georgia"	"13"	"2009"	"2009"	411	0.124%	4.272	9620846
	"Georgia"	"13"	"2008"	"2008"	476	0.143%	5.008	9504843
	"Georgia"	"13"	"2007"	"2007"	477	0.144%	5.102	9349988
	"Georgia"	"13"	"2006"	"2006"	507	0.153%	5.537	9155813
	"Georgia"	"13"	"2005"	"2005"	505	0.152%	5.658	8925922
	"Georgia"	"13"	"2004"	"2004"	537	0.162%	6.124	8769252
	"Georgia"	"13"	"2003"	"2003"	532	0.160%	6.170	8622793
	"Georgia"	"13"	"2002"	"2002"	535	0.161%	6.288	8508256
	"Georgia"	"13"	"2001"	"2001"	577	0.174%	6.888	8377038
	"Georgia"	"13"	"2000"	"2000"	695	0.209%	8.447	8227303
	"Georgia"	"13"	"1999"	"1999"	670	0.202%	8.327	8045965
	"Georgia"	"13"	"1998"	"1998"	630	0.190%	8.012	7863536
	"Georgia"	"13"	"1997"	"1997"	695	0.209%	9.043	7685099
	"Georgia"	"13"	"1996"	"1996"	792	0.238%	10.559	7501069
	"Georgia"	"13"	"1995"	"1995"	735	0.221%	10.030	7328413
	"Georgia"	"13"	"1994"	"1994"	740	0.223%	10.339	7157165
	"Georgia"	"13"	"1993"	"1993"	809	0.244%	11.593	6978240
	"Hawaii"	"15"	"2013"	"2013"	115	0.035%	8.191	1404054
	"Hawaii"	"15"	"2012"	"2012"	117	0.035%	8.417	1390090
	"Hawaii"	"15"	"2011"	"2011"	123	0.037%	8.933	1376897
	"Hawaii"	"15"	"2010"	"2010"	115	0.035%	8.433	1363731
	"Hawaii"	"15"	"2009"	"2009"	117	0.035%	8.688	1346717
	"Hawaii"	"15"	"2008"	"2008"	124	0.037%	9.308	1332213
	"Hawaii"	"15"	"2007"	"2007"	122	0.037%	9.273	1315675
	"Hawaii"	"15"	"2006"	"2006"	114	0.034%	8.704	1309731
	"Hawaii"	"15"	"2005"	"2005"	112	0.034%	8.664	1292729
	"Hawaii"	"15"	"2004"	"2004"	116	0.035%	9.108	1273569
	"Hawaii"	"15"	"2003"	"2003"	116	0.035%	9.271	1251154
	"Hawaii"	"15"	"2002"	"2002"	148	0.045%	11.939	1239613
	"Hawaii"	"15"	"2001"	"2001"	150	0.045%	12.235	1225948
	"Hawaii"	"15"	"2000"	"2000"	136	0.041%	11.207	1213519
	"Hawaii"	"15"	"1999"	"1999"	184	0.055%	15.203	1210300
	"Hawaii"	"15"	"1998"	"1998"	181	0.055%	14.894	1215233
	"Hawaii"	"15"	"1997"	"1997"	165	0.050%	13.618	1211640
	"Hawaii"	"15"	"1996"	"1996"	200	0.060%	16.615	1203755
	"Hawaii"	"15"	"1995"	"1995"	193	0.058%	16.126	1196854
	"Hawaii"	"15"	"1994"	"1994"	247	0.074%	20.799	1187536
	"Hawaii"	"15"	"1993"	"1993"	251	0.076%	21.401	1172838
	"Idaho"	"16"	"2013"	"2013"	11	0.003%	0.682	1612136
	"Idaho"	"16"	"2012"	"2012"	15	0.005%	0.940	1595590
	"Idaho"	"16"	"2011"	"2011"	12	0.004%	0.758	1583930
	"Idaho"	"16"	"2010"	"2010"	15	0.005%	0.955	1570718
	"Idaho"	"16"	"2009"	"2009"	18	0.005%	1.158	1554439
	"Idaho"	"16"	"2008"	"2008"	11	0.003%	0.717	1534320
	"Idaho"	"16"	"2007"	"2007"	9	0.003%	0.598	1505105
	"Idaho"	"16"	"2006"	"2006"	20	0.006%	1.362	1468669
	"Idaho"	"16"	"2005"	"2005"	23	0.007%	1.610	1428241
	"Idaho"	"16"	"2004"	"2004"	11	0.003%	0.790	1391802
	"Idaho"	"16"	"2003"	"2003"	13	0.004%	0.954	1363380
	"Idaho"	"16"	"2002"	"2002"	14	0.004%	1.044	1340372
	"Idaho"	"16"	"2001"	"2001"	9	0.003%	0.682	1319962
	"Idaho"	"16"	"2000"	"2000"	16	0.005%	1.231	1299430
	"Idaho"	"16"	"1999"	"1999"	16	0.005%	1.254	1275674
	"Idaho"	"16"	"1998"	"1998"	14	0.004%	1.118	1252330
	"Idaho"	"16"	"1997"	"1997"	15	0.005%	1.221	1228520
	"Idaho"	"16"	"1996"	"1996"	15	0.005%	1.247	1203083
	"Idaho"	"16"	"1995"	"1995"	14	0.004%	1.189	1177322
	"Idaho"	"16"	"1994"	"1994"	13	0.004%	1.135	1145140
	"Idaho"	"16"	"1993"	"1993"	10	0.003%	0.902	1108768
	"Illinois"	"17"	"2013"	"2013"	327	0.098%	2.538	12882135
	"Illinois"	"17"	"2012"	"2012"	347	0.104%	2.697	12868192
	"Illinois"	"17"	"2011"	"2011"	358	0.108%	2.785	12855970
	"Illinois"	"17"	"2010"	"2010"	372	0.112%	2.897	12839695
	"Illinois"	"17"	"2009"	"2009"	418	0.126%	3.266	12796778
	"Illinois"	"17"	"2008"	"2008"	466	0.140%	3.656	12747038
	"Illinois"	"17"	"2007"	"2007"	520	0.157%	4.096	12695866
	"Illinois"	"17"	"2006"	"2006"	563	0.170%	4.453	12643955
	"Illinois"	"17"	"2005"	"2005"	589	0.177%	4.671	12609903
	"Illinois"	"17"	"2004"	"2004"	567	0.171%	4.504	12589773
	"Illinois"	"17"	"2003"	"2003"	632	0.190%	5.033	12556006
	"Illinois"	"17"	"2002"	"2002"	679	0.204%	5.421	12525556
	"Illinois"	"17"	"2001"	"2001"	703	0.212%	5.629	12488445
	"Illinois"	"17"	"2000"	"2000"	738	0.222%	5.935	12434161
	"Illinois"	"17"	"1999"	"1999"	822	0.248%	6.651	12359020
	"Illinois"	"17"	"1998"	"1998"	842	0.254%	6.861	12271847
	"Illinois"	"17"	"1997"	"1997"	964	0.290%	7.911	12185715
	"Illinois"	"17"	"1996"	"1996"	1063	0.320%	8.784	12101997
	"Illinois"	"17"	"1995"	"1995"	1022	0.308%	8.511	12008437
	"Illinois"	"17"	"1994"	"1994"	1115	0.336%	9.360	11912585
	"Illinois"	"17"	"1993"	"1993"	1234	0.372%	10.449	11809579
	"Indiana"	"18"	"2013"	"2013"	94	0.028%	1.431	6570902
	"Indiana"	"18"	"2012"	"2012"	102	0.031%	1.560	6537782
	"Indiana"	"18"	"2011"	"2011"	100	0.030%	1.535	6516336
	"Indiana"	"18"	"2010"	"2010"	90	0.027%	1.387	6489965
	"Indiana"	"18"	"2009"	"2009"	119	0.036%	1.842	6459325
	"Indiana"	"18"	"2008"	"2008"	118	0.036%	1.837	6424806
	"Indiana"	"18"	"2007"	"2007"	128	0.039%	2.006	6379599
	"Indiana"	"18"	"2006"	"2006"	124	0.037%	1.958	6332669
	"Indiana"	"18"	"2005"	"2005"	146	0.044%	2.325	6278616
	"Indiana"	"18"	"2004"	"2004"	128	0.039%	2.054	6233007
	"Indiana"	"18"	"2003"	"2003"	143	0.043%	2.308	6196638
	"Indiana"	"18"	"2002"	"2002"	128	0.039%	2.079	6155967
	"Indiana"	"18"	"2001"	"2001"	115	0.035%	1.877	6127760
	"Indiana"	"18"	"2000"	"2000"	145	0.044%	2.380	6091866
	"Indiana"	"18"	"1999"	"1999"	150	0.045%	2.481	6044970
	"Indiana"	"18"	"1998"	"1998"	188	0.057%	3.134	5998881
	"Indiana"	"18"	"1997"	"1997"	168	0.051%	2.821	5955267
	"Indiana"	"18"	"1996"	"1996"	202	0.061%	3.420	5906013
	"Indiana"	"18"	"1995"	"1995"	200	0.060%	3.418	5851459
	"Indiana"	"18"	"1994"	"1994"	211	0.064%	3.642	5793526
	"Indiana"	"18"	"1993"	"1993"	248	0.075%	4.321	5739019
	"Iowa"	"19"	"2013"	"2013"	47	0.014%	1.521	3090416
	"Iowa"	"19"	"2012"	"2012"	46	0.014%	1.496	3075039
	"Iowa"	"19"	"2011"	"2011"	40	0.012%	1.305	3064102
	"Iowa"	"19"	"2010"	"2010"	48	0.014%	1.574	3050314
	"Iowa"	"19"	"2009"	"2009"	42	0.013%	1.385	3032870
	"Iowa"	"19"	"2008"	"2008"	49	0.015%	1.624	3016734
	"Iowa"	"19"	"2007"	"2007"	43	0.013%	1.434	2999212
	"Iowa"	"19"	"2006"	"2006"	40	0.012%	1.341	2982644
	"Iowa"	"19"	"2005"	"2005"	55	0.017%	1.855	2964454
	"Iowa"	"19"	"2004"	"2004"	47	0.014%	1.591	2953635
	"Iowa"	"19"	"2003"	"2003"	40	0.012%	1.360	2941999
	"Iowa"	"19"	"2002"	"2002"	34	0.010%	1.159	2934234
	"Iowa"	"19"	"2001"	"2001"	43	0.013%	1.467	2931997
	"Iowa"	"19"	"2000"	"2000"	40	0.012%	1.366	2929067
	"Iowa"	"19"	"1999"	"1999"	58	0.017%	1.988	2917634
	"Iowa"	"19"	"1998"	"1998"	55	0.017%	1.895	2902872
	"Iowa"	"19"	"1997"	"1997"	74	0.022%	2.560	2891119
	"Iowa"	"19"	"1996"	"1996"	69	0.021%	2.396	2880001
	"Iowa"	"19"	"1995"	"1995"	72	0.022%	2.511	2867373
	"Iowa"	"19"	"1994"	"1994"	66	0.020%	2.315	2850746
	"Iowa"	"19"	"1993"	"1993"	59	0.018%	2.080	2836972
	"Kansas"	"20"	"2013"	"2013"	36	0.011%	1.244	2893957
	"Kansas"	"20"	"2012"	"2012"	42	0.013%	1.456	2885398
	"Kansas"	"20"	"2011"	"2011"	36	0.011%	1.255	2869548
	"Kansas"	"20"	"2010"	"2010"	46	0.014%	1.609	2858910
	"Kansas"	"20"	"2009"	"2009"	64	0.019%	2.259	2832704
	"Kansas"	"20"	"2008"	"2008"	57	0.017%	2.030	2808076
	"Kansas"	"20"	"2007"	"2007"	59	0.018%	2.119	2783785
	"Kansas"	"20"	"2006"	"2006"	82	0.025%	2.968	2762931
	"Kansas"	"20"	"2005"	"2005"	60	0.018%	2.186	2745299
	"Kansas"	"20"	"2004"	"2004"	62	0.019%	2.267	2734373
	"Kansas"	"20"	"2003"	"2003"	75	0.023%	2.754	2723004
	"Kansas"	"20"	"2002"	"2002"	86	0.026%	3.169	2713535
	"Kansas"	"20"	"2001"	"2001"	81	0.024%	2.998	2702162
	"Kansas"	"20"	"2000"	"2000"	77	0.023%	2.859	2693681
	"Kansas"	"20"	"1999"	"1999"	69	0.021%	2.576	2678338
	"Kansas"	"20"	"1998"	"1998"	56	0.017%	2.105	2660598
	"Kansas"	"20"	"1997"	"1997"	78	0.023%	2.960	2635292
	"Kansas"	"20"	"1996"	"1996"	73	0.022%	2.792	2614554
	"Kansas"	"20"	"1995"	"1995"	89	0.027%	3.422	2601008
	"Kansas"	"20"	"1994"	"1994"	84	0.025%	3.255	2580513
	"Kansas"	"20"	"1993"	"1993"	83	0.025%	3.247	2556547
	"Kentucky"	"21"	"2013"	"2013"	59	0.018%	1.342	4395295
	"Kentucky"	"21"	"2012"	"2012"	78	0.023%	1.781	4379730
	"Kentucky"	"21"	"2011"	"2011"	70	0.021%	1.603	4366869
	"Kentucky"	"21"	"2010"	"2010"	91	0.027%	2.093	4347698
	"Kentucky"	"21"	"2009"	"2009"	75	0.023%	1.737	4317074
	"Kentucky"	"21"	"2008"	"2008"	101	0.030%	2.354	4289878
	"Kentucky"	"21"	"2007"	"2007"	120	0.036%	2.819	4256672
	"Kentucky"	"21"	"2006"	"2006"	84	0.025%	1.991	4219239
	"Kentucky"	"21"	"2005"	"2005"	124	0.037%	2.965	4182742
	"Kentucky"	"21"	"2004"	"2004"	127	0.038%	3.063	4146101
	"Kentucky"	"21"	"2003"	"2003"	138	0.042%	3.352	4117170
	"Kentucky"	"21"	"2002"	"2002"	146	0.044%	3.570	4089875
	"Kentucky"	"21"	"2001"	"2001"	152	0.046%	3.736	4068132
	"Kentucky"	"21"	"2000"	"2000"	147	0.044%	3.631	4049021
	"Kentucky"	"21"	"1999"	"1999"	209	0.063%	5.202	4018053
	"Kentucky"	"21"	"1998"	"1998"	179	0.054%	4.491	3985391
	"Kentucky"	"21"	"1997"	"1997"	183	0.055%	4.630	3952747
	"Kentucky"	"21"	"1996"	"1996"	259	0.078%	6.608	3919536
